,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11134,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.00,19716384.00,19716384.00,False,,1,,,,2024-06-25T08:45:00.000Z,60715.61,42072743346.57,120.74,0.01,-3.34,-7.62,-12.22,-5.75,-12.90,1197092377341.09,53.37,1275027912022.96,,2024-06-25T08:45:00.000Z,,,,,,2024-06-25 17:45:51
1,1027,Ethereum,ETH,ethereum,9082,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120154099.20,120154099.20,True,,2,,,,2024-06-25T08:44:00.000Z,3350.35,21615160577.94,60.41,-0.33,-1.04,-2.80,-11.56,6.64,-6.04,402558545705.39,17.95,402558545705.39,,2024-06-25T08:44:00.000Z,,,,,,2024-06-25 17:45:51
2,825,Tether USDt,USDT,tether,89451,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112934363981.53,116077402099.84,True,,3,,,,2024-06-25T08:44:00.000Z,1.00,73392318501.53,75.05,-0.08,0.01,-0.04,-0.03,-0.05,-0.05,112876272977.43,5.03,116017694384.63,,2024-06-25T08:44:00.000Z,1027.00,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-25 17:45:51
3,1839,BNB,BNB,bnb,2186,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583516.81,147583516.81,False,,4,,,,2024-06-25T08:44:00.000Z,569.41,1943873649.32,19.93,-0.28,-0.83,-3.91,-5.57,-6.56,-0.98,84035925248.29,3.75,84035925248.29,,2024-06-25T08:44:00.000Z,,,,,,2024-06-25 17:45:51
4,5426,Solana,SOL,solana,691,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462254198.47,578932271.87,True,,5,,,,2024-06-25T08:44:00.000Z,133.65,3346738739.54,85.78,-1.30,5.85,-3.60,-18.70,-7.27,-28.46,61781527707.11,2.75,77375868761.27,,2024-06-25T08:44:00.000Z,,,,,,2024-06-25 17:45:51
5,3408,USDC,USDC,usd-coin,19873,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32680706522.69,32680706522.69,False,,6,,,,2024-06-25T08:44:00.000Z,1.00,8003497404.02,101.94,-0.08,-0.00,0.00,-0.01,0.00,0.01,32681503319.50,1.46,32681503319.50,,2024-06-25T08:44:00.000Z,1027.00,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-25 17:45:51
6,52,XRP,XRP,xrp,1342,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.00,55618185850.00,99987512072.00,False,,7,,,,2024-06-25T08:45:00.000Z,0.48,1134567292.13,29.48,-0.04,-0.36,-5.61,-11.56,-9.52,-23.34,26450327690.10,1.18,47556976708.01,,2024-06-25T08:45:00.000Z,,,,,,2024-06-25 17:45:51
7,11419,Toncoin,TON,toncoin,432,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2458325807.04,5108079284.07,True,,8,3414166606.00,25819554864.91,,2024-06-25T08:44:00.000Z,7.56,392090142.28,15.14,-0.36,3.93,2.88,19.49,40.34,54.72,18591031245.82,0.83,38629729755.34,,2024-06-25T08:44:00.000Z,,,,,,2024-06-25 17:45:51
8,74,Dogecoin,DOGE,dogecoin,1010,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144852196383.71,144852196383.71,True,,9,,,,2024-06-25T08:45:00.000Z,0.12,949514560.80,41.88,-0.57,1.96,-1.05,-28.90,-19.60,-33.49,17601100944.71,0.78,17601100944.71,,2024-06-25T08:45:00.000Z,,,,,,2024-06-25 17:45:51
9,2010,Cardano,ADA,cardano,1197,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.00,35743167685.44,36994116264.58,False,,10,,,,2024-06-25T08:44:00.000Z,0.39,393730267.93,62.05,-0.67,2.54,1.71,-15.92,-17.44,-40.30,13833791157.14,0.62,17416492224.47,,2024-06-25T08:44:00.000Z,,,,,,2024-06-25 17:45:51
10,1958,TRON,TRX,tron,993,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87232057795.72,87232109667.52,True,,11,71659659264.00,8643643886.24,,2024-06-25T08:44:00.000Z,0.12,325374497.32,56.35,-0.01,1.43,4.76,6.15,2.99,-0.01,10521998719.98,0.47,10522004976.79,,2024-06-25T08:44:00.000Z,,,,,,2024-06-25 17:45:51
11,5994,Shiba Inu,SHIB,shiba-inu,835,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271272075720.62,589519721419069.62,False,,12,,,,2024-06-25T08:44:00.000Z,0.00,352516700.73,64.76,-0.62,-0.20,-6.34,-30.60,-33.91,-42.96,10070258121.82,0.45,10074503957.54,,2024-06-25T08:44:00.000Z,1027.00,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-25 17:45:51
12,5805,Avalanche,AVAX,avalanche,749,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.00,393757965.38,443104335.38,False,,13,,,,2024-06-25T08:44:00.000Z,24.93,428943872.10,-3.36,-0.98,1.69,-6.41,-33.22,-29.66,-54.44,9815195859.66,0.44,17841452061.87,,2024-06-25T08:44:00.000Z,,,,,,2024-06-25 17:45:51
